"","Package","LibPath","Version","Priority","Built"
"211","nloptr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.1",NA,"3.5.2"
"212","NLP","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2-0",NA,"3.5.1"
"213","nnet","C:/Users/aubryp/Documents/R/R-3.6.1/library","7.3-12","recommended","3.6.1"
"214","numDeriv","C:/Users/aubryp/Documents/R/R-3.6.1/library","2016.8-1",NA,"3.4.1"
"215","nycflights13","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.1",NA,"3.6.2"
"216","openssl","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.1",NA,"3.6.2"
"217","openxlsx","C:/Users/aubryp/Documents/R/R-3.6.1/library","4.1.0.1",NA,"3.5.3"
"218","optextras","C:/Users/aubryp/Documents/R/R-3.6.1/library","2016-8.8",NA,"3.4.1"
"219","optimx","C:/Users/aubryp/Documents/R/R-3.6.1/library","2013.8.7",NA,"3.4.4"
"220","orcutt","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.2",NA,"3.4.4"
"221","packrat","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4.9-2",NA,"3.4.4"
"222","parallel","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"223","partitions","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.9-19",NA,"3.4.4"
"224","pbkrtest","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4-7",NA,"3.4.4"
"225","pcaPP","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.9-73",NA,"3.4.4"
"226","permute","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-4",NA,"3.4.4"
"227","pillar","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.3",NA,"3.6.2"
"228","pkgbuild","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.3",NA,"3.5.3"
"229","pkgconfig","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0.3",NA,"3.6.2"
"230","pkgload","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.2",NA,"3.5.3"
"231","PKI","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-5.1",NA,"3.4.1"
"232","PKPDmodels","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.3.2",NA,"3.4.4"
"233","plm","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6-6",NA,"3.4.4"
"234","plogr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.0",NA,"3.6.2"
"235","plyr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8.5",NA,"3.6.2"
"236","png","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-7",NA,"3.5.2"
"237","poLCA","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4.1",NA,"3.4.4"
"238","polyclip","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.6-1",NA,"3.4.1"
"239","polyCub","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6.1",NA,"3.4.4"
"240","polynom","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-9",NA,"3.4.1"
"241","praise","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.0",NA,"3.4.4"
"242","prettyunits","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.2",NA,"3.6.2"
"243","processx","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.4.1",NA,"3.6.2"
"244","prodlim","C:/Users/aubryp/Documents/R/R-3.6.1/library","2018.04.18",NA,"3.5.3"
"245","progress","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.2",NA,"3.6.2"
"246","promises","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0.1",NA,"3.5.3"
